City,Country,Date,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lng
Jamestown,US,1601085390,66.99,68,1,4.7,42.1,-79.24
Saldanha,ZA,1601085422,50.0,76,27,4.7,-33.01,17.94
Lebu,CL,1601085422,49.39,81,97,8.48,-37.62,-73.65
Harrison,US,1601085422,73.4,83,1,3.13,30.41,-89.04
Hambantota,LK,1601085423,77.0,100,75,5.82,6.12,81.12
Saint Paul Harbor,US,1601085291,51.8,71,90,10.29,57.79,-152.41
Port Alfred,ZA,1601085423,58.19,72,98,23.85,-33.59,26.89
Havøysund,NO,1601085423,42.8,75,69,18.34,71.0,24.66
Ushuaia,AR,1601085327,46.4,52,20,18.34,-54.8,-68.3
Victoria Point,AU,1601085424,75.99,28,0,11.99,-27.58,153.3
Mingguang,CN,1601085424,74.62,65,43,8.25,32.78,117.96
Hong Kong,HK,1601085360,82.99,79,95,5.01,22.29,114.16
Castro,BR,1601085424,61.34,74,100,4.45,-24.79,-50.01
Pevek,RU,1601085424,33.31,96,100,9.08,69.7,170.31
Norman Wells,CA,1601085425,42.8,81,75,11.41,65.28,-126.83
Hithadhoo,MV,1601085425,82.09,67,100,4.25,-0.6,73.08
Alyangula,AU,1601085425,84.2,74,75,6.93,-13.85,136.42
College,US,1601085425,44.6,75,90,3.36,64.86,-147.8
Köping,SE,1601085426,54.0,87,100,17.22,59.51,15.99
Lincoln,US,1601085177,79.0,54,1,6.93,40.8,-96.67
Hilo,US,1601085426,82.4,58,90,4.7,19.73,-155.09
Kapaa,US,1601085426,86.0,62,20,12.75,22.08,-159.32
Leninskoye,RU,1601085426,60.01,73,21,7.96,47.94,132.62
Saquena,PE,1601085427,72.82,87,69,0.83,-4.67,-73.52
Souillac,MU,1601085427,69.8,77,75,16.11,-20.52,57.52
Punta Cardon,VE,1601085427,83.75,80,97,25.37,11.66,-70.22
Kaitangata,NZ,1601085428,55.99,69,90,8.01,-46.28,169.85
Ixtapa,MX,1601085428,79.0,94,75,4.7,20.7,-105.2
Port Lincoln,AU,1601085428,54.18,57,86,10.09,-34.73,135.87
Saint-Philippe,RE,1601085428,66.2,63,40,6.93,-21.36,55.77
Deputatsky,RU,1601085428,45.66,50,0,1.83,69.3,139.9
Ovada,IT,1601085429,48.0,73,37,3.58,44.64,8.65
Vila Velha,BR,1601085429,71.6,88,20,3.36,-20.33,-40.29
East London,ZA,1601085429,61.45,65,100,18.95,-33.02,27.91
Upernavik,GL,1601085429,24.69,85,100,6.93,72.79,-56.15
Saint-Pierre,RE,1601085430,66.2,63,19,6.93,-21.34,55.48
Polson,US,1601085430,54.0,57,99,1.01,47.69,-114.16
Hasaki,JP,1601085430,70.0,83,75,11.41,35.73,140.83
Lishui,CN,1601085430,67.78,82,100,1.34,28.46,119.91
Zaragoza,ES,1601085431,55.4,62,20,20.8,41.66,-0.88
Cabo San Lucas,MX,1601085431,84.99,83,20,8.05,22.89,-109.91
Caravelas,BR,1601085431,71.46,86,0,4.79,-17.71,-39.25
New Norfolk,AU,1601085431,54.0,70,85,3.0,-42.78,147.06
Westport,US,1601085266,68.0,88,75,10.29,41.14,-73.36
Asău,RO,1601085432,60.01,98,39,2.98,46.43,26.4
Sitka,US,1601085432,53.6,81,90,3.36,57.05,-135.33
Tombouctou,ML,1601085432,93.92,12,0,7.65,20.0,-3.0
Puerto Ayora,EC,1601085432,69.01,87,69,4.0,-0.74,-90.35
Kuusamo,FI,1601085433,35.6,100,40,3.36,65.97,29.18
Xingcheng,CN,1601085433,70.81,56,0,5.64,40.62,120.72
Dikson,RU,1601085433,43.68,77,100,20.96,73.51,80.55
Matonga,TZ,1601085433,69.53,62,69,3.69,-2.38,34.08
Chicama,PE,1601085433,62.29,78,89,6.55,-7.84,-79.15
Altona,DE,1601085434,48.2,76,100,2.24,53.55,9.93
Republic,US,1601085434,72.0,60,1,8.05,37.12,-93.48
Kahului,US,1601085300,87.8,48,40,23.04,20.89,-156.47
Cerrito,CO,1601085434,49.05,72,30,5.88,6.84,-72.69
Katsuura,JP,1601085434,71.6,88,75,9.17,35.13,140.3
Thompson,CA,1601085435,50.0,100,75,4.7,55.74,-97.86
São João da Barra,BR,1601085435,72.68,86,0,16.91,-21.64,-41.05
Esperance,AU,1601085435,55.4,58,75,16.11,-33.87,121.9
Nikolskoye,RU,1601085436,53.01,87,4,8.95,59.7,30.79
Pimenta Bueno,BR,1601085436,82.24,52,59,1.79,-11.67,-61.19
Krasnosel'kup,RU,1601085436,37.33,90,97,6.67,65.7,82.47
Egvekinot,RU,1601085174,32.59,85,67,7.18,66.32,-179.17
Aklavik,CA,1601085436,37.4,100,90,6.93,68.22,-135.01
Leningradskiy,RU,1601085437,27.34,92,99,4.85,69.38,178.42
Ancud,CL,1601085437,48.0,87,0,4.81,-41.87,-73.82
Lüderitz,NA,1601085437,55.83,78,26,10.69,-26.65,15.16
Coquimbo,CL,1601085437,53.6,81,6,6.93,-29.95,-71.34
Poya,NC,1601085437,84.33,55,15,2.84,-21.35,165.15
Provideniya,RU,1601085438,37.69,71,0,8.55,64.38,-173.3
Mar del Plata,AR,1601085262,52.0,100,90,6.93,-38.0,-57.56
Constitución,CL,1601085223,50.56,76,96,1.34,-35.33,-72.42
Finnsnes,NO,1601085438,37.4,93,100,6.93,69.23,17.98
Bongandanga,CD,1601085438,68.97,97,99,1.39,1.5,21.05
Ribeira Grande,PT,1601085439,68.29,77,4,13.49,38.52,-28.7
Upata,VE,1601085439,79.0,87,100,4.7,8.01,-62.4
Vardø,NO,1601085439,46.04,76,68,28.61,70.37,31.11
Coahuayana Viejo,MX,1601085439,79.63,78,62,2.24,18.73,-103.68
Nanga Eboko,CM,1601085440,67.82,98,100,2.59,4.68,12.37
Saskylakh,RU,1601085440,41.43,65,64,5.91,71.92,114.08
Kotovo,RU,1601085440,53.44,53,21,12.64,50.32,44.8
Rawson,AR,1601085440,55.58,48,0,6.42,-43.3,-65.1
Gazojak,TM,1601085440,50.52,45,0,12.97,41.19,61.4
Methóni,GR,1601085441,72.0,93,20,8.95,36.82,21.7
Thinadhoo,MV,1601085352,82.65,69,100,5.88,0.53,72.93
Qasigiannguit,GL,1601085441,35.6,74,100,10.29,68.82,-51.19
Emmett,US,1601085441,66.0,48,100,3.0,43.87,-116.5
Tigil',RU,1601085442,50.52,57,28,12.64,57.8,158.67
Waipawa,NZ,1601085442,60.8,72,70,21.92,-41.41,175.52
Marawi,PH,1601085442,86.0,70,100,1.99,8.0,124.29
White Center,US,1601085442,62.6,63,75,8.05,47.52,-122.35
Kaeo,NZ,1601085442,66.99,85,25,13.0,-35.1,173.78
Chapais,CA,1601085443,46.4,70,90,4.7,49.78,-74.85
Wanaka,NZ,1601085443,51.22,67,86,10.67,-44.7,169.15
Santa Cruz de la Sierra,BO,1601085443,80.6,69,0,6.93,-17.8,-63.17
Poum,NC,1601085443,76.93,83,0,16.96,-20.23,164.02
Guéret,FR,1601085444,44.01,87,2,8.05,46.17,1.87
Anloga,GH,1601085444,77.0,88,40,9.17,5.79,0.9
Nago,JP,1601085444,80.6,78,20,11.41,26.59,127.98
Plettenberg Bay,ZA,1601085444,51.55,71,89,14.58,-34.05,23.37
Cherskiy,RU,1601085445,38.86,84,100,10.58,68.75,161.3
Tsimmerbude,RU,1601085445,62.6,82,100,6.71,54.67,20.13
Muros,ES,1601085445,51.01,92,6,3.58,42.78,-9.06
Petatlán,MX,1601085445,78.17,80,100,2.04,17.52,-101.27
Storm Lake,US,1601085446,70.0,60,1,8.05,42.64,-95.21
St. George's,GD,1601085446,82.4,83,20,7.31,12.06,-61.75
Paamiut,GL,1601085446,39.63,84,99,17.65,61.99,-49.67
Arinos,BR,1601085446,74.07,38,0,2.82,-15.92,-46.11
Shingū,JP,1601085447,75.2,73,75,14.99,33.73,135.98
Vila Franca do Campo,PT,1601085447,66.2,88,75,12.75,37.72,-25.43
Karratha,AU,1601085447,77.68,36,98,14.83,-20.74,116.85
Ko Samui,TH,1601085447,84.2,70,40,9.17,9.54,99.94
Dingle,PH,1601085447,85.32,77,23,8.39,11.0,122.67
Kiama,AU,1601085448,60.01,42,0,31.0,-34.68,150.87
Paraisópolis,BR,1601085448,73.4,64,0,4.7,-22.55,-45.78
Lanzhou,CN,1601085448,51.8,93,20,2.24,36.06,103.79
Terrassa,ES,1601085448,55.99,48,98,8.23,41.57,2.02
Tuktoyaktuk,CA,1601085449,37.4,93,90,13.87,69.45,-133.04
Yeniseysk,RU,1601085449,45.5,89,100,7.07,58.45,92.17
Chokurdakh,RU,1601085449,47.08,54,6,9.64,70.63,147.92
Portland,US,1601085110,62.6,88,90,8.05,45.52,-122.68
Mbigou,GA,1601085449,66.87,96,100,4.34,-1.9,11.91
Sarkand,KZ,1601085450,41.11,63,0,1.77,45.41,79.92
Susanino,RU,1601085450,49.69,95,48,5.84,58.15,41.59
Iwaki,JP,1601085450,71.01,73,45,1.99,37.05,140.88
Itarema,BR,1601085450,78.28,80,31,15.26,-2.92,-39.92
San Quintín,MX,1601085451,69.35,83,2,7.29,30.48,-115.95
Beloha,MG,1601085451,66.07,77,0,7.96,-25.17,45.05
Tuatapere,NZ,1601085451,63.0,55,100,8.99,-46.13,167.68
Linköping,SE,1601085451,59.0,93,100,10.29,58.41,15.62
Bengkulu,ID,1601085452,81.3,74,49,0.76,-3.8,102.27
Pangnirtung,CA,1601085452,34.63,84,100,6.06,66.15,-65.71
Angoche,MZ,1601085452,70.38,89,0,10.11,-16.23,39.91
Jaru,BR,1601085452,82.62,59,89,1.97,-10.44,-62.47
Abhā,SA,1601085453,62.6,25,0,5.84,18.22,42.51
Kayakent,RU,1601085453,66.2,72,69,4.47,42.39,47.9
Carora,VE,1601085453,79.61,62,100,7.4,10.18,-70.08
Bathsheba,BB,1601085453,82.4,83,20,8.05,13.22,-59.52
Falam,MM,1601085453,66.25,95,93,1.61,22.92,93.68
Mahébourg,MU,1601085454,69.8,77,75,16.11,-20.41,57.7
Bida,NG,1601085454,73.89,96,100,3.04,9.08,6.02
Morón,AR,1601085454,61.0,72,90,16.11,-34.65,-58.62
Arrondissement de Montauban,FR,1601085454,51.8,81,75,14.99,44.08,1.5
The Valley,AI,1601085178,84.2,74,20,8.05,18.22,-63.06
Aksarka,RU,1601085455,38.73,87,80,10.6,66.56,67.8
Havre-St-Pierre,CA,1601085455,39.2,93,1,8.05,50.23,-63.6
Severo-Kuril'sk,RU,1601085455,49.93,62,0,15.82,50.68,156.12
Quelimane,MZ,1601085455,71.6,88,0,6.93,-17.88,36.89
Baie-Saint-Paul,CA,1601085456,46.99,80,2,3.0,47.44,-70.5
De-Kastri,RU,1601085456,55.27,83,100,5.08,51.47,140.78
Asmara,ER,1601085456,58.3,48,7,2.53,15.33,38.93
Comodoro Rivadavia,AR,1601085331,50.0,71,0,1.12,-45.87,-67.5
Vilhena,BR,1601085457,77.29,55,0,2.33,-12.74,-60.15
Río Gallegos,AR,1601085309,44.6,67,0,6.93,-51.62,-69.22
Buala,SB,1601085457,85.3,70,98,10.11,-8.14,159.59
Clyde River,CA,1601085457,30.2,86,90,9.17,70.47,-68.59
Ilulissat,GL,1601085457,35.6,74,100,10.29,69.22,-51.1
Besenyőtelek,HU,1601085458,62.6,93,97,4.7,47.7,20.43
Kavieng,PG,1601085458,85.1,72,15,9.15,-2.57,150.8
Anadyr,RU,1601085458,37.4,55,40,11.18,64.75,177.48
Lagoa,PT,1601085458,68.13,78,77,13.18,39.05,-27.98
Moengo,SR,1601085459,76.08,92,0,2.93,5.62,-54.4
Verkhnevilyuysk,RU,1601085459,49.6,66,41,9.06,63.45,120.32
Lavrentiya,RU,1601085459,37.9,75,83,12.68,65.58,-171.0
Qui Nhon,VN,1601085460,84.27,72,100,3.11,13.77,109.23
Ponta do Sol,PT,1601085460,73.4,73,40,16.11,32.67,-17.1
Māngrol,IN,1601085460,80.33,78,44,11.39,21.12,70.12
Los Llanos de Aridane,ES,1601085460,79.0,54,94,8.05,28.66,-17.92
Burnie,AU,1601085461,55.99,51,74,15.99,-41.07,145.92
Jūrmala,LV,1601085461,60.8,72,100,5.82,56.97,23.77
Waliso,ET,1601085461,56.79,89,94,1.74,8.53,37.98
Geraldton,AU,1601085461,68.0,68,40,11.41,-28.77,114.6
São Félix do Xingu,BR,1601085461,72.61,93,100,1.23,-6.64,-51.99
Jardim,BR,1601085165,76.96,34,0,4.05,-21.48,-56.14
Myitkyina,MM,1601085462,74.77,97,100,3.31,25.38,97.4
Yar-Sale,RU,1601085462,39.09,91,100,10.76,66.83,70.83
Gamba,GA,1601085462,74.88,85,100,7.16,-2.65,10.0
Salta,AR,1601085270,75.2,44,1,5.82,-24.79,-65.41
Morehead,US,1601085463,66.99,93,1,0.74,37.27,-87.18
Nanortalik,GL,1601085463,38.17,86,100,13.67,60.14,-45.24
Kuznechnoye,RU,1601085463,53.01,91,0,4.63,61.12,29.87
Naze,JP,1601085463,80.6,74,75,6.93,28.37,129.48
Benguela,AO,1601085464,69.35,77,4,4.34,-12.58,13.41
Ferrol,ES,1601085464,55.0,100,40,5.82,43.48,-8.24
Guerrero Negro,MX,1601085464,70.93,80,0,13.96,27.98,-114.06
Palomares,MX,1601085464,75.22,91,100,1.1,17.15,-95.07
Narsaq,GL,1601085465,37.4,93,99,3.36,60.92,-46.05
São Filipe,CV,1601085465,79.43,82,61,6.82,14.9,-24.5
Vao,NC,1601085465,72.88,88,4,19.84,-22.67,167.48
Srednekolymsk,RU,1601085465,47.41,54,100,7.54,67.45,153.68
Kiryat Gat,IL,1601085240,75.0,79,36,3.74,31.61,34.76
Muli,MV,1601085466,82.42,73,34,7.7,2.92,73.57
Sisimiut,GL,1601085466,38.01,91,100,5.28,66.94,-53.67
Avera,US,1601085466,75.2,89,90,5.82,33.19,-82.53
Epe,NG,1601085466,76.12,91,100,5.35,6.58,3.98
Sabang,ID,1601085466,82.42,74,100,11.27,5.89,95.32
Americus,US,1601085467,77.0,78,3,4.7,32.07,-84.23
Coihueco,CL,1601085467,50.0,100,100,3.36,-36.62,-71.83
Honiara,SB,1601085467,86.0,74,75,13.87,-9.43,159.95
Araouane,ML,1601085467,93.99,12,14,5.88,18.9,-3.53
Kavaratti,IN,1601085468,81.48,78,100,8.19,10.57,72.64
Gouyave,GD,1601085468,82.4,83,20,9.04,12.16,-61.73
Vaitape,PF,1601085468,79.93,77,15,13.35,-16.52,-151.75
Burgeo,CA,1601085468,48.0,74,0,16.98,47.62,-57.62
Salinópolis,BR,1601085371,78.48,81,1,11.34,-0.61,-47.36
Baykit,RU,1601085469,44.29,71,0,3.11,61.67,96.37
Sur,OM,1601085469,82.33,54,0,4.63,22.57,59.53
Tambopata,PE,1601085469,83.01,53,79,2.35,-12.73,-69.18
Port Hardy,CA,1601085470,55.4,93,75,4.7,50.7,-127.42
Hay River,CA,1601085470,51.8,93,75,2.24,60.82,-115.8
Vostok,RU,1601085470,53.69,61,100,10.27,46.49,135.88
Verkhnetulomskiy,RU,1601085470,46.4,81,91,6.71,68.61,31.8
Puerto Escondido,MX,1601085471,81.41,75,88,1.52,15.85,-97.07
Umluj,SA,1601085471,84.27,48,0,9.55,25.02,37.27
Broken Hill,AU,1601085471,53.6,50,40,13.87,-31.95,141.43
Roebourne,AU,1601085471,77.92,36,96,13.98,-20.78,117.13
Palmer,US,1601085472,62.01,92,0,3.38,42.16,-72.33
Klyuchi,RU,1601085472,45.64,89,100,8.55,52.27,79.17
Camocim,BR,1601085472,75.13,87,45,10.63,-2.9,-40.84
Punta Alta,AR,1601085472,58.26,85,100,7.78,-38.88,-62.07
Kununurra,AU,1601085473,91.4,49,10,8.05,-15.77,128.73
Staunton,US,1601085473,59.0,93,90,10.29,38.15,-79.07
Grindavik,IS,1601085473,46.4,93,90,32.21,63.84,-22.43
Marsh Harbour,BS,1601085473,82.06,76,100,10.16,26.54,-77.06
Yei,SS,1601085473,66.16,94,85,2.19,4.09,30.68
Apad,PH,1601085474,85.15,73,99,10.49,13.81,122.77
Ajdabiya,LY,1601085474,80.02,29,0,11.32,30.76,20.23
Zeya,RU,1601085474,52.27,87,100,7.99,53.75,127.27
Hamilton,US,1601085474,72.0,88,20,1.81,39.18,-84.53
Lorengau,PG,1601085475,86.61,63,97,8.25,-2.02,147.27
Parabel',RU,1601085475,37.74,88,10,11.92,58.7,81.48
Bethel,US,1601085268,64.0,93,1,2.98,41.37,-73.41
Mossamedes,AO,1601085475,62.19,87,97,5.93,-15.2,12.15
Fortuna,US,1601085475,68.0,77,40,6.93,40.6,-124.16
Sumoto,JP,1601085476,75.99,83,75,9.17,34.35,134.9
Huarmey,PE,1601085476,61.38,81,2,8.77,-10.07,-78.15
Moussoro,TD,1601085476,87.94,40,100,4.61,13.64,16.49
Havelock,US,1601085208,72.0,94,90,3.36,34.88,-76.9
Mackay,AU,1601085476,89.01,40,40,9.17,-21.15,149.2
Yaoundé,CM,1601085429,69.8,94,20,4.7,3.87,11.52
Palanga,LT,1601085477,64.4,77,99,8.05,55.92,21.07
Tucumcari,US,1601085477,80.89,16,0,10.78,35.17,-103.72
Muisne,EC,1601085477,73.69,81,31,6.49,0.6,-80.03
Ashtian,IR,1601085478,50.23,46,0,2.84,34.52,50.0
Antu,IN,1601085478,78.62,81,78,3.06,26.05,81.92
Aquiraz,BR,1601085478,78.8,78,75,14.99,-3.9,-38.39
Areia Branca,BR,1601085478,75.96,72,1,17.52,-4.96,-37.14
High Level,CA,1601085479,55.4,66,75,2.24,58.52,-117.14
Kalyazin,RU,1601085479,51.51,90,49,7.76,57.24,37.84
Kohlu,PK,1601085479,69.84,23,0,1.88,29.9,69.25
Vanavara,RU,1601085479,43.2,69,0,7.85,60.34,102.28
Taltal,CL,1601085480,56.26,74,36,3.24,-25.4,-70.48
Humberto de Campos,BR,1601085480,76.28,85,2,5.68,-2.6,-43.46
Liberal,US,1601085480,82.4,26,1,10.98,37.04,-100.92
Kandrian,PG,1601085480,80.26,84,100,7.25,-6.22,149.55
Sungai Penuh,ID,1601085481,68.43,89,100,1.45,-2.08,101.38
Barra do Garças,BR,1601085481,81.27,42,0,3.2,-15.89,-52.26
Anaconda,US,1601085481,53.6,50,1,16.11,46.13,-112.94
Fort-Shevchenko,KZ,1601085481,63.39,42,53,19.82,44.51,50.26
Isangel,VU,1601085482,80.6,83,40,9.17,-19.55,169.27
Tommot,RU,1601085482,58.01,48,12,13.35,58.96,126.29
Trairi,BR,1601085482,78.69,78,93,13.35,-3.28,-39.27
Chui,UY,1601085482,58.39,89,100,4.7,-33.7,-53.46
Arlit,NE,1601085483,89.31,13,0,7.18,18.74,7.39
Oranjemund,NA,1601085483,56.64,77,65,11.9,-28.55,16.43
Flinders,AU,1601085483,60.01,42,0,15.99,-34.58,150.86
Martyush,RU,1601085483,41.56,90,85,5.08,56.4,61.88
Jacareacanga,BR,1601085483,70.86,95,100,3.0,-6.22,-57.75
Beni Mazar,EG,1601085484,73.81,63,0,6.13,28.5,30.8
Yermakovskoye,RU,1601085484,43.18,73,45,1.14,53.28,92.4
Baruun-Urt,MN,1601085484,66.65,39,17,23.53,46.68,113.28
Kodīnar,IN,1601085484,79.52,81,78,10.74,20.79,70.7
Praia da Vitória,PT,1601085485,69.01,82,75,13.58,38.73,-27.07
Neuquén,AR,1601085485,66.2,32,41,6.93,-38.95,-68.06
Yulara,AU,1601085485,68.0,24,0,16.11,-25.24,130.99
Paka,MY,1601085485,80.6,83,20,3.36,4.64,103.44
North Las Vegas,US,1601085486,98.6,7,1,5.82,36.2,-115.12
Menongue,AO,1601085486,59.41,33,0,2.55,-14.66,17.69
Clifton,US,1601085486,70.0,82,1,4.83,40.86,-74.16
Mount Gambier,AU,1601085486,53.6,62,75,17.22,-37.83,140.77
Verkhnyaya Toyma,RU,1601085487,50.22,96,27,4.14,62.23,45.0
Ayan,RU,1601085487,51.39,69,16,8.75,56.45,138.17
Hofn,IS,1601085487,40.1,84,100,3.69,64.25,-15.21
Longyearbyen,SJ,1601085488,30.2,68,75,1.12,78.22,15.64
Flin Flon,CA,1601085488,53.85,68,84,6.38,54.77,-101.86
Nara,JP,1601085305,73.99,78,75,6.93,34.69,135.8
Kindu,CD,1601085488,69.69,97,100,1.34,-2.95,25.95
Shenjiamen,CN,1601085488,73.47,73,100,13.8,29.96,122.3
Sorong,ID,1601085489,83.98,68,100,6.06,-0.88,131.25
Vieste,IT,1601085489,60.8,67,40,17.22,41.88,16.18
Hays,US,1601085489,75.99,77,0,3.0,30.05,-98.03
Pisco,PE,1601085206,63.0,82,0,14.99,-13.7,-76.22
Abu Samrah,SY,1601085490,65.8,90,1,6.22,35.3,37.18
Alice Springs,AU,1601085490,75.0,22,0,14.99,-23.7,133.88
Lata,PT,1601085490,57.0,79,0,1.01,40.16,-8.33
Barra de Tecoanapa,MX,1601085490,81.25,74,95,1.36,16.52,-98.75
Xiongzhou,CN,1601085491,68.22,90,100,4.27,25.12,114.3
Marsá Maţrūḩ,EG,1601085266,69.8,83,0,7.18,31.35,27.25
Mangai,CD,1601085491,68.72,97,100,1.95,-4.05,19.53
Mazara del Vallo,IT,1601085491,73.4,60,20,18.34,37.66,12.59
Laguna,US,1601085491,84.2,32,1,3.36,38.42,-121.42
Vrangel',RU,1601085492,64.27,63,43,1.97,42.73,133.08
Bollnäs,SE,1601085492,47.26,75,100,9.73,61.35,16.39
Sinnamary,GF,1601085492,79.38,84,0,8.05,5.38,-52.95
Nome,US,1601085492,37.4,51,90,9.17,64.5,-165.41
Hailar,CN,1601085493,63.97,57,100,17.2,49.2,119.7
Cancún,MX,1601085478,84.2,83,75,8.05,21.17,-86.85
George Town,MY,1601085493,78.01,88,20,1.12,5.41,100.34
Nishihara,JP,1601085493,82.4,78,90,8.05,26.18,127.76
Inongo,CD,1601085493,68.67,95,92,2.33,-1.95,18.27
Novoagansk,RU,1601085494,38.1,85,26,5.61,61.94,76.66
San Cristobal,VE,1601085494,65.68,84,89,1.61,7.77,-72.22
Gazli,UZ,1601085494,52.25,42,0,10.45,40.13,63.45
Resistencia,AR,1601085495,87.01,40,64,10.29,-27.46,-58.98
Jiaocheng,CN,1601085495,72.14,83,100,2.3,24.68,116.14
Udachny,RU,1601085495,32.0,69,40,4.47,66.42,112.4
Ifakara,TZ,1601085495,68.74,80,10,4.68,-8.13,36.68
Lima,PE,1601085495,62.6,77,75,12.75,-12.04,-77.03
Kalmunai,LK,1601085496,80.42,78,55,8.97,7.42,81.82
Mangochi,MW,1601085496,68.85,49,18,3.6,-14.48,35.26
Antofagasta,CL,1601085496,59.0,77,75,8.05,-23.65,-70.4
Phalaborwa,ZA,1601085497,72.16,27,0,4.97,-23.94,31.14
Ozernovskiy,RU,1601085497,49.08,52,0,14.5,51.5,156.52
Piaçabuçu,BR,1601085497,72.95,87,86,8.5,-10.41,-36.43
Aykhal,RU,1601085497,32.0,66,40,4.47,66.0,111.5
Guiyang,CN,1601085497,60.8,93,90,6.71,26.58,106.72
Loei,TH,1601085498,78.8,94,75,2.39,17.42,101.5
Namatanai,PG,1601085498,86.13,66,87,5.03,-3.67,152.43
Quatre Cocos,MU,1601085498,69.8,77,75,16.11,-20.21,57.76
Touros,BR,1601085498,75.2,78,20,6.93,-5.2,-35.46
