City,Country,Date,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lat,Lng
Thompson,CA,1601180393,42.8,93,75,4.7,55.74,-97.86
Kruisfontein,ZA,1601180323,48.0,73,0,1.01,-34.0,24.73
Saskylakh,RU,1601180393,36.01,91,100,17.58,71.92,114.08
Lüderitz,NA,1601180394,51.44,68,0,19.24,-26.65,15.16
Klaksvík,FO,1601180394,44.6,87,100,9.17,62.23,-6.59
Kavieng,PG,1601180242,83.71,79,80,11.03,-2.57,150.8
Lagoa,PT,1601180394,69.19,88,34,15.14,39.05,-27.98
Noumea,NC,1601180394,75.2,78,90,11.41,-22.28,166.46
Kungurtug,RU,1601180395,45.39,53,0,1.7,50.6,97.52
Lubao,PH,1601180395,89.6,70,75,2.24,14.92,120.55
Laguna,US,1601180395,80.01,46,1,5.82,38.42,-121.42
Castro,BR,1601180162,65.66,48,0,2.91,-24.79,-50.01
Matara,LK,1601180396,84.6,70,60,7.67,5.95,80.54
Tasiilaq,GL,1601180396,34.14,91,100,2.71,65.61,-37.64
Port Hardy,CA,1601180171,48.2,100,20,2.24,50.7,-127.42
Rivadavia,AR,1601180396,55.4,66,75,5.82,-33.19,-68.46
Boa Vista,BR,1601180397,78.8,74,40,4.7,2.82,-60.67
Asilah,MA,1601180397,64.4,68,11,3.36,35.47,-6.03
Teacapan,MX,1601180397,81.99,79,0,3.71,22.55,-105.75
Greensburg,US,1601180397,62.01,100,1,3.42,40.3,-79.54
Alenquer,BR,1601180398,77.0,94,86,2.24,-1.94,-54.74
Province of Mantua,IT,1601180398,54.0,78,19,3.0,45.17,10.78
Sosnovo,RU,1601180398,51.01,94,5,4.36,60.55,30.21
Sompeta,IN,1601180398,87.33,61,0,0.85,18.93,84.6
Pimentel,PE,1601180399,59.59,90,4,14.79,-6.84,-79.93
Touros,BR,1601180399,69.8,94,0,4.7,-5.2,-35.46
Saint-Philippe,RE,1601180399,77.0,47,37,1.12,-21.36,55.77
Tezu,IN,1601180399,73.8,87,100,2.82,27.92,96.17
Cabo San Lucas,MX,1601180400,81.0,83,20,5.82,22.89,-109.91
Actopan,MX,1601180400,62.4,84,99,1.43,20.27,-98.93
Atar,MR,1601180400,89.92,22,0,13.69,20.52,-13.05
Bredasdorp,ZA,1601180400,44.6,87,24,5.82,-34.53,20.04
Praia da Vitória,PT,1601180401,68.0,94,40,11.86,38.73,-27.07
Torbay,CA,1601180401,54.0,81,75,12.75,47.67,-52.73
Nikolskoye,RU,1601180401,53.01,93,0,6.71,59.7,30.79
Faanui,PF,1601180402,78.64,80,53,12.55,-16.48,-151.75
Oodweyne,SO,1601180402,73.85,60,23,14.83,9.41,45.06
Karasburg,NA,1601180402,33.93,92,0,0.47,-28.02,18.75
Pacific Grove,US,1601180402,64.99,90,0,1.99,36.62,-121.92
Nueva Loja,EC,1601180403,71.87,84,15,2.44,0.08,-76.88
Ilhabela,BR,1601180403,72.19,79,7,4.18,-23.78,-45.36
Hobart,AU,1601180115,55.0,40,75,13.87,-42.88,147.33
Banda Aceh,ID,1601180389,86.27,62,75,9.64,5.56,95.32
Nishifukuma,JP,1601180403,75.99,53,40,14.99,33.77,130.47
Port Blair,IN,1601180334,85.39,71,98,15.41,11.67,92.75
Dalianwan,CN,1601180404,77.0,53,40,4.47,39.03,121.69
Huarmey,PE,1601180404,60.94,85,31,9.78,-10.07,-78.15
Richards Bay,ZA,1601180404,61.41,79,100,4.97,-28.78,32.04
Bhadrāchalam,IN,1601180405,82.78,79,97,4.21,17.67,80.88
Shubarshi,KZ,1601180405,50.07,48,0,11.74,48.59,57.19
Tiarei,PF,1601180405,82.4,69,20,6.93,-17.53,-149.33
Dambulla,LK,1601180406,87.31,52,37,9.37,7.86,80.65
Kapaa,US,1601180406,82.4,69,40,13.87,22.08,-159.32
Zhicheng,CN,1601180406,81.0,64,97,1.57,30.3,111.5
Lata,PT,1601180406,64.0,90,95,1.01,40.16,-8.33
Marawi,PH,1601180407,84.0,75,20,5.99,8.0,124.29
Cutervo,PE,1601180407,50.32,97,24,0.6,-6.38,-78.82
Borba,BR,1601180407,73.47,86,80,0.22,-4.39,-59.59
Ryōtsu-minato,JP,1601180407,71.6,68,75,2.24,38.08,138.43
Berlevåg,NO,1601180408,41.43,71,0,16.64,70.86,29.09
East London,ZA,1601180408,51.8,57,2,10.29,-33.02,27.91
Salalah,OM,1601180408,78.8,83,75,3.36,17.02,54.09
Te Anau,NZ,1601180408,40.33,78,74,11.92,-45.42,167.72
Santa Marta,CO,1601180172,75.99,89,100,8.34,11.24,-74.2
Moussoro,TD,1601180409,84.04,43,100,8.05,13.64,16.49
North Platte,US,1601180409,63.0,48,1,5.82,41.12,-100.77
Balabac,PH,1601180409,84.72,75,17,8.41,7.99,117.06
Provideniya,RU,1601180410,36.01,78,40,8.1,64.38,-173.3
Cururupu,BR,1601180410,74.52,92,92,3.89,-1.83,-44.87
Graaff-Reinet,ZA,1601180410,36.0,68,44,1.99,-32.25,24.53
Lorengau,PG,1601180410,85.17,72,31,9.66,-2.02,147.27
Kimbe,PG,1601180410,84.99,76,37,5.06,-5.55,150.14
Görele,TR,1601180411,71.6,68,0,3.36,41.03,39.0
Pevek,RU,1601180335,36.82,86,75,12.97,69.7,170.31
Cherskiy,RU,1601180374,43.97,68,2,20.69,68.75,161.3
Alofi,NU,1601180411,75.2,78,75,17.22,-19.06,-169.92
Osa,RU,1601180412,48.69,81,82,2.93,57.28,55.46
Jiblah,YE,1601180412,68.49,50,0,1.9,13.92,44.15
Praia,CV,1601180343,78.8,83,40,9.17,14.92,-23.51
Nome,US,1601180412,42.8,45,1,9.17,64.5,-165.41
Plettenberg Bay,ZA,1601180412,47.21,69,10,9.01,-34.05,23.37
San Angelo,US,1601180413,75.0,77,1,4.7,31.46,-100.44
Clyde River,CA,1601180413,26.6,86,90,4.7,70.47,-68.59
Saint Paul Harbor,US,1601180172,48.2,66,20,10.29,57.79,-152.41
Kavaratti,IN,1601180413,82.4,78,75,3.36,10.57,72.64
Johnstown,US,1601180241,57.2,87,1,3.36,40.33,-78.92
Kizilskoye,RU,1601180414,48.94,60,1,2.86,52.73,58.89
Beyneu,KZ,1601180414,55.8,41,7,19.01,45.32,55.2
Labuhan,ID,1601180225,91.0,48,98,2.37,-6.88,112.21
Mayaky,UA,1601180415,64.27,91,100,11.68,47.44,29.56
Cadillac,US,1601180415,68.0,72,1,11.41,44.25,-85.4
Awjilah,LY,1601180415,71.44,75,0,2.64,29.11,21.29
Takoradze,GH,1601180415,74.14,93,90,6.73,4.88,-1.76
San Andrés,CO,1601180416,77.0,94,40,2.24,12.58,-81.7
Gornyy,RU,1601180416,43.0,85,100,3.06,55.12,83.91
Fortuna,US,1601180417,61.0,100,75,9.17,40.6,-124.16
Bambous Virieux,MU,1601180417,72.0,83,75,6.93,-20.34,57.76
Arraial do Cabo,BR,1601180143,72.54,89,0,18.21,-22.97,-42.03
Sturgeon Bay,US,1601180417,64.4,100,40,14.99,44.83,-87.38
Butaritari,KI,1601180417,82.67,74,100,11.54,3.07,172.79
Khani,GE,1601180418,64.4,82,0,6.93,41.96,42.96
Jingdezhen,CN,1601180418,80.17,56,64,4.61,29.29,117.21
Hithadhoo,MV,1601180210,82.67,66,88,3.76,-0.6,73.08
Cockburn Town,TC,1601180418,83.12,71,4,10.38,21.46,-71.14
Darhan,MN,1601180255,51.98,45,33,7.29,49.49,105.92
Byron Bay,AU,1601180419,70.0,45,0,14.99,-28.65,153.62
Khandagayty,RU,1601180419,44.26,54,53,0.65,50.73,92.05
Half Moon Bay,US,1601180262,73.4,77,90,12.75,37.46,-122.43
Nouadhibou,MR,1601180419,82.4,51,1,24.16,20.93,-17.03
Fukuechō,JP,1601180420,75.2,60,40,19.46,32.69,128.84
Colorado,BR,1601180420,74.82,39,0,7.0,-22.84,-51.97
Champerico,GT,1601180420,66.99,99,99,9.91,14.3,-91.92
Ambon City,ID,1601180420,86.0,66,75,5.82,-3.7,128.18
Ilkal,IN,1601180421,73.9,85,100,9.64,15.97,76.13
Sisimiut,GL,1601180421,33.44,91,100,8.79,66.94,-53.67
Halifax,CA,1601180386,60.01,99,20,6.76,44.65,-63.57
Xining,CN,1601180332,63.36,48,67,3.44,36.62,101.77
Terney,RU,1601180421,59.29,65,96,11.27,45.05,136.61
Conway,US,1601180422,63.0,100,90,4.7,35.09,-92.44
Vardø,NO,1601180422,41.41,68,4,11.27,70.37,31.11
Sitka,US,1601180422,51.8,81,75,8.05,57.05,-135.33
Synya,RU,1601180422,51.98,91,100,10.25,65.37,58.04
Luanda,AO,1601180413,69.8,94,75,3.36,-8.84,13.23
Warrnambool,AU,1601180423,57.99,62,1,8.1,-38.38,142.48
Itarema,BR,1601180423,76.89,81,45,15.93,-2.92,-39.92
Naze,JP,1601180423,84.2,62,75,14.99,28.37,129.48
St. Pete Beach,US,1601180424,80.6,83,1,6.93,27.73,-82.74
Mount Isa,AU,1601180424,87.8,12,0,6.93,-20.73,139.5
Koumac,NC,1601180425,75.58,81,71,9.69,-20.57,164.28
Mayo,US,1601180425,70.0,100,90,3.36,38.89,-76.51
Honningsvåg,NO,1601180425,43.52,67,4,18.92,70.98,25.97
Trincomalee,LK,1601180425,86.0,65,88,9.24,8.57,81.23
Riyadh,SA,1601180425,75.2,29,0,2.24,24.69,46.72
Qaqortoq,GL,1601180426,35.6,55,0,11.41,60.72,-46.03
Pudozh,RU,1601180426,49.08,94,2,4.05,61.81,36.53
Opuwo,NA,1601180426,55.31,39,0,3.42,-18.06,13.84
Petropavlovsk-Kamchatskiy,RU,1601180427,57.2,53,21,11.18,53.05,158.65
Beringovskiy,RU,1601180297,38.39,72,37,16.82,63.05,179.32
Zhangjiakou Shi Xuanhua Qu,CN,1601180427,69.12,40,17,4.54,40.61,115.04
Jacareacanga,BR,1601180427,72.27,88,75,0.94,-6.22,-57.75
Hermanus,ZA,1601180427,45.0,94,78,5.21,-34.42,19.23
Longyearbyen,SJ,1601180428,28.4,68,75,10.29,78.22,15.64
São Filipe,CV,1601180428,81.09,82,46,8.99,14.9,-24.5
Chapais,CA,1601180377,57.2,100,90,5.82,49.78,-74.85
Ames,US,1601180165,73.4,49,1,9.17,42.03,-93.62
Ilulissat,GL,1601180261,32.0,95,99,8.05,69.22,-51.1
Beloha,MG,1601180429,71.69,68,0,3.56,-25.17,45.05
Lincoln,US,1601180429,72.0,40,1,17.22,40.8,-96.67
Saldanha,ZA,1601180430,41.0,86,52,1.12,-33.01,17.94
Salinópolis,BR,1601180430,78.49,82,100,10.83,-0.61,-47.36
Owase,JP,1601180430,79.02,55,16,4.47,34.07,136.2
Province of Trapani,IT,1601180430,70.0,62,52,3.0,37.83,12.67
Yarmouth,US,1601180431,64.99,93,40,7.76,41.71,-70.23
Uyuni,BO,1601180431,46.49,46,0,8.97,-20.46,-66.83
Kirkuk,IQ,1601180431,80.98,23,0,5.01,35.47,44.39
Faya,SA,1601180431,62.6,29,0,5.95,18.39,42.45
Norman Wells,CA,1601180432,39.2,86,75,1.34,65.28,-126.83
Westport,US,1601180432,69.8,88,90,8.05,41.14,-73.36
Port Augusta,AU,1601180197,64.0,42,0,8.05,-32.5,137.77
Portel,BR,1601180432,75.15,88,14,4.52,-1.94,-50.82
The Pas,CA,1601180433,53.6,71,1,10.29,53.83,-101.25
Havre-St-Pierre,CA,1601180344,46.4,81,90,4.7,50.23,-63.6
Alyangula,AU,1601180433,95.0,28,56,13.87,-13.85,136.42
Mahébourg,MU,1601180433,71.6,83,75,6.93,-20.41,57.7
Sabzawār,IR,1601180218,60.8,44,20,13.87,36.21,57.68
Nikolayevsk-on-Amur,RU,1601180434,62.1,58,3,4.83,53.14,140.73
Saint-Pierre,RE,1601180434,77.0,47,0,1.12,-21.34,55.48
Udachny,RU,1601180434,35.6,80,90,8.95,66.42,112.4
Zvishavane,ZW,1601180434,61.34,87,21,8.23,-20.33,30.07
Fundão,BR,1601180434,75.99,83,2,6.93,-19.93,-40.4
Port Macquarie,AU,1601180435,69.01,30,0,1.99,-31.43,152.92
Lufilufi,WS,1601180435,87.8,66,40,10.29,-13.87,-171.6
Gāndhīdhām,IN,1601180435,84.2,60,34,11.03,23.08,70.13
Auki,SB,1601180436,82.09,70,83,6.11,-8.77,160.7
Hailar,CN,1601180436,55.36,50,1,16.08,49.2,119.7
Baykit,RU,1601180436,44.22,63,100,5.84,61.67,96.37
Inuvik,CA,1601180143,33.8,100,90,9.17,68.35,-133.72
Marion,US,1601180380,64.99,82,20,12.75,39.77,-86.16
Aklavik,CA,1601180436,33.8,100,90,9.17,68.22,-135.01
Jinan,CN,1601180293,81.0,43,14,1.39,36.67,117.0
Sur,OM,1601180261,90.66,38,0,2.42,22.57,59.53
Andenes,NO,1601180437,30.2,86,0,6.93,69.31,16.12
Grindavik,IS,1601180437,44.6,100,40,6.93,63.84,-22.43
Hambantota,LK,1601180437,84.2,79,40,10.29,6.12,81.12
Lebu,CL,1601180438,48.0,89,15,10.42,-37.62,-73.65
Bathsheba,BB,1601180288,82.4,78,40,11.41,13.22,-59.52
Saint Anthony,US,1601180438,60.8,93,40,8.21,45.02,-93.22
Silver City,US,1601180438,73.99,22,1,10.29,32.77,-108.28
Shimoda,JP,1601180438,71.6,83,75,12.75,34.67,138.95
Ugoofaaru,MV,1601180439,82.31,76,56,7.18,5.67,73.0
Keshabpur,BD,1601180439,88.34,71,69,6.08,22.92,89.21
Tignère,CM,1601180439,64.36,93,100,1.95,7.37,12.65
Tallahassee,US,1601180203,73.99,88,1,2.33,30.44,-84.28
Ullal,IN,1601180440,77.0,94,75,2.01,12.8,74.85
Kudahuvadhoo,MV,1601180440,83.53,69,99,7.4,2.67,72.89
Leningradskiy,RU,1601180440,33.28,93,99,6.82,69.38,178.42
Makkah al Mukarramah,SA,1601180282,84.22,41,0,1.7,21.43,39.83
Katsuura,JP,1601180249,73.0,75,100,3.0,35.13,140.3
Totskoye,RU,1601180441,51.78,58,11,2.66,52.52,52.76
Talaya,RU,1601180441,54.66,38,22,9.98,61.38,152.75
Lusambo,CD,1601180442,69.22,95,24,1.66,-4.97,23.45
Lac du Bonnet,CA,1601180442,55.0,99,10,6.55,50.25,-96.06
Khanbari,NP,1601180442,80.38,58,1,2.39,27.37,87.2
Lakselv,NO,1601180442,32.0,81,0,19.46,70.05,24.97
Mpulungu,ZM,1601180443,74.28,56,13,3.65,-8.76,31.11
Havøysund,NO,1601180376,41.0,65,16,16.11,71.0,24.66
Akureyri,IS,1601180443,50.0,71,99,9.17,65.68,-18.09
Nishihara,JP,1601180443,78.8,69,75,8.05,26.18,127.76
Bengkulu,ID,1601180443,83.32,68,96,8.41,-3.8,102.27
Markivka,UA,1601180444,53.94,47,0,16.04,49.52,39.57
Manokwari,ID,1601180444,84.88,66,2,7.65,-0.87,134.08
Elban,RU,1601180444,61.95,56,0,6.38,50.1,136.51
Castlemaine,AU,1601180444,61.0,35,35,1.99,-37.07,144.22
Paso de Carrasco,UY,1601180445,57.99,100,75,8.05,-34.86,-56.05
Ust'-Omchug,RU,1601180445,50.13,44,0,9.78,61.15,149.63
Nanortalik,GL,1601180445,37.65,81,0,8.16,60.14,-45.24
Ballina,AU,1601180405,71.6,45,0,14.99,-28.87,153.57
Asău,RO,1601180446,53.01,90,14,5.41,46.43,26.4
Fiumicino,IT,1601180446,55.99,87,20,6.93,41.77,12.23
Lianran,CN,1601180446,71.01,93,75,13.42,24.92,102.48
Gomel,BY,1601180446,60.8,59,0,15.66,52.43,30.98
San Quintín,MX,1601180446,67.78,82,1,4.81,30.48,-115.95
Nazarovo,RU,1601180447,42.17,87,100,7.87,56.01,90.39
Kristiansund,NO,1601180447,46.4,75,0,17.22,63.11,7.73
Ormara,PK,1601180447,85.6,47,0,12.3,25.21,64.64
Neuquén,AR,1601180283,55.4,58,98,16.11,-38.95,-68.06
La Ligua,CL,1601180262,46.08,79,0,0.85,-32.45,-71.23
Esim,GH,1601180448,75.07,91,92,7.61,4.87,-2.24
Ferme-Neuve,CA,1601180448,59.68,91,100,4.5,46.7,-75.45
Sarakhs,IR,1601180448,57.2,44,0,2.24,36.54,61.16
Moctezuma,MX,1601180449,77.68,39,0,2.06,29.8,-109.67
Basco,PH,1601180449,82.85,83,99,18.48,20.45,121.97
Kropotkin,RU,1601180449,62.83,64,15,16.73,45.44,40.58
Pangody,RU,1601180449,48.7,90,89,6.53,65.85,74.49
Kallithea,GR,1601180450,69.01,63,0,6.15,37.95,23.7
Severo-Yeniseyskiy,RU,1601180450,40.87,79,99,5.14,60.37,93.04
Kumul,CN,1601180314,65.75,25,26,7.2,42.8,93.45
Namatanai,PG,1601180450,85.06,69,47,8.03,-3.67,152.43
Maturin,VE,1601180450,74.19,95,100,2.48,9.75,-63.18
Carnarvon,AU,1601180451,75.2,44,13,14.99,-24.87,113.63
Ancud,CL,1601180451,48.0,93,44,4.65,-41.87,-73.82
Kogon,UZ,1601180451,55.4,43,1,11.41,39.72,64.55
Jagüey Grande,CU,1601180452,73.4,100,40,4.7,22.53,-81.13
Ploemeur,FR,1601180452,44.6,81,0,4.7,47.73,-3.43
Tarija,BO,1601180452,71.71,37,0,5.93,-21.54,-64.73
La Providencia,MX,1601180452,82.0,86,0,7.63,28.72,-111.58
Sørland,NO,1601180452,44.55,73,11,16.04,67.67,12.69
Meulaboh,ID,1601180453,85.28,61,11,2.71,4.14,96.13
Isangel,VU,1601180453,82.4,74,75,5.82,-19.55,169.27
Muros,ES,1601180453,59.0,95,92,1.01,42.78,-9.06
Nola,IT,1601180453,62.6,63,48,5.82,40.92,14.53
Hasaki,JP,1601180454,72.0,83,75,8.05,35.73,140.83
Amahai,ID,1601180378,82.42,74,64,7.72,-3.33,128.92
Pacanga,PE,1601180454,62.44,79,12,6.11,-7.17,-79.5
Jiuquan,CN,1601180454,61.59,26,49,6.73,39.74,98.52
Port Lincoln,AU,1601180454,55.74,65,16,15.23,-34.73,135.87
Vilyuysk,RU,1601180455,49.71,78,74,9.33,63.76,121.62
Collie,AU,1601180455,61.0,69,90,4.0,-33.37,116.15
Homer,US,1601180399,51.8,81,75,6.93,59.64,-151.55
Padang,ID,1601180455,76.87,74,100,4.65,-0.95,100.35
Coahuayana Viejo,MX,1601180456,77.7,82,14,2.21,18.73,-103.68
Leh,IN,1601180456,45.81,49,8,6.13,34.17,77.58
Acarí,PE,1601180456,61.97,65,35,3.62,-15.43,-74.62
Yulara,AU,1601180456,82.4,12,1,8.05,-25.24,130.99
Hualmay,PE,1601180342,60.48,83,20,9.35,-11.1,-77.61
Shangrao,CN,1601180457,70.05,77,99,4.45,28.45,117.97
Wichita Falls,US,1601180410,75.2,73,1,16.11,33.91,-98.49
Rio Maior,PT,1601180457,64.99,99,99,13.0,39.34,-8.94
Vozrozhdeniye,RU,1601180457,61.0,88,0,1.99,44.55,38.21
Rocha,UY,1601180458,59.59,96,99,6.64,-34.48,-54.33
Vila Franca do Campo,PT,1601180458,68.0,94,75,17.22,37.72,-25.43
Elizabeth City,US,1601180458,69.8,100,90,6.93,36.29,-76.25
Lumphat,KH,1601180458,86.14,80,71,2.71,13.49,106.98
Belaya Gora,RU,1601180458,51.85,43,77,9.82,68.53,146.42
Palauig,PH,1601180459,87.13,65,87,7.4,15.44,119.9
Harper,LR,1601180459,75.63,90,31,6.8,4.38,-7.72
Podyuga,RU,1601180459,46.72,90,4,4.38,61.09,40.86
Tiksi,RU,1601180231,41.79,80,100,3.49,71.69,128.87
Gerāsh,IR,1601180460,68.0,49,0,4.7,27.67,54.14
Hong Kong,HK,1601180313,82.99,80,100,1.99,22.29,114.16
Comodoro Rivadavia,AR,1601180460,55.4,37,0,10.29,-45.87,-67.5
Oistins,BB,1601180460,82.4,78,40,11.41,13.07,-59.53
Bilma,NE,1601180460,81.79,16,43,2.15,18.69,12.92
Palana,RU,1601180461,45.54,68,0,16.51,59.12,159.97
Port Shepstone,ZA,1601180461,58.57,45,100,13.56,-30.74,30.45
Mugumu,TZ,1601180461,64.56,76,41,2.66,-1.85,34.7
Saint-Augustin,CA,1601180461,48.58,95,100,6.96,51.23,-58.65
Lucapa,AO,1601180462,66.15,89,26,2.44,-8.42,20.74
Paraíso,CR,1601180462,68.0,100,99,3.36,9.84,-83.87
Mianyang,CN,1601180462,63.73,93,100,3.62,31.46,104.75
Contamana,PE,1601180462,73.36,86,51,1.52,-7.33,-75.02
Kahului,US,1601180463,84.2,54,40,20.8,20.89,-156.47
Conde,BR,1601180463,71.6,94,82,3.36,-7.26,-34.91
Kalcheva,UA,1601180463,60.89,77,29,13.76,45.74,28.81
Don Luan,VN,1601180463,84.4,80,83,3.51,11.53,106.92
Mizdah,LY,1601180464,66.87,80,83,14.52,31.45,12.98
Alice Springs,AU,1601180332,80.6,11,12,12.75,-23.7,133.88
Conchas,BR,1601180464,71.38,37,0,2.55,-23.02,-48.01
Yako,BF,1601180464,74.37,81,4,6.4,12.97,-2.27
Puerto Escondido,MX,1601180464,79.61,80,94,4.21,15.85,-97.07
Aranos,NA,1601180465,44.78,52,0,6.4,-24.13,19.12
Yuncheng,CN,1601180465,75.6,48,92,17.4,35.02,110.99
Christchurch,NZ,1601180463,61.0,51,11,14.99,-43.53,172.63
Cairns,AU,1601180465,89.01,35,95,11.41,-16.92,145.77
Cumberland,US,1601180466,68.0,93,40,3.36,35.05,-78.87
Upington,ZA,1601180466,39.2,60,0,6.93,-28.45,21.26
São Sebastião,BR,1601180466,72.14,76,7,4.43,-23.76,-45.41
Quesnel,CA,1601180466,46.4,70,1,3.56,53.0,-122.5
Sarandë,AL,1601180466,64.0,87,40,3.96,39.88,20.01
São João del Rei,BR,1601180467,64.11,62,0,4.0,-21.14,-44.26
Båtsfjord,NO,1601180467,38.95,74,3,12.46,70.63,29.72
Portree,GB,1601180467,37.0,79,92,7.0,57.41,-6.19
San Cristobal,VE,1601180468,65.25,81,45,1.74,7.77,-72.22
Lodwar,KE,1601180468,79.81,53,25,10.85,3.12,35.6
Puerto Nariño,CO,1601180468,75.2,100,0,2.21,-3.77,-70.38
Filiatrá,GR,1601180468,69.01,93,40,3.74,37.15,21.58
